ID	Elav_1	Elav_2	Elav_3	Elav_4	Elav_5	Repo_1	Repo_2	Repo_3	Repo_4	Repo_5
CG31817	20.96629446	16.79546694	15.77972327	20.11221399	17.02992292	17.1483754	20.53481436	20.53481436	76.10925536	24.25146506
CG31818	23.26356028	23.10286713	29.85705573	16.33619401	35.01739844	24.5900029	41.35529058	24.93326655	41.64293937	23.58830748
CG31819	6.147500725	5.241573615	6.147500725	5.13370359	5.897076869	7.621103984	8.339726087	8.0556444	17.26765178	6.868523492
CG3182	1389.162831	1314.228119	922.8804737	885.2861249	1226.218194	968.7630302	704.2774109	613.1090968	439.5855035	897.6442586
CG31820	19.42711815	32.89964245	21.85664411	45.88656794	23.75237713	11.71268557	26.17286587	28.64080227	34.53530357	33.59093388
CG31821	9.579829637	11.47164198	11.08087574	10.85283462	14.4200074	13.547925	20.11221399	14.12324794	40.50421101	17.26765178
CG31822	7.781239579	7.06162397	7.889861636	7.06162397	9.253505471	7.889861636	11.87618857	8.815240927	15.67072476	9.253505471
CG31823	19.8353232	20.82146969	20.96629446	21.40684088	23.10286713	27.47409397	32.67238802	26.53822547	31.77895985	22.78480313
CG31824	10.26740718	9.986644391	9.063071082	8.6938789	14.82540899	11.63178014	15.56247916	11.3137085	48.16789592	19.29292524
CG31825	102.5369443	51.26847217	28.4429658	80.44885597	68.5935016	18.63573738	26.90868529	39.39662123	26.53822547	35.75318842
CG31826	9.317868692	7.06162397	7.944739963	9.781122222	9.646462622	8.815240927	18.50701094	10.26740718	14.12324794	10.12605275
CG31828	23.75237713	23.42537114	22.47111801	22.31589866	25.10669113	36.75834736	41.93258892	30.90996253	77.7084726	39.12448889
CG31829	85.0358921	61.39290364	74.02804377	70.52192742	254.2316788	125.3657981	80.44885597	238.8564458	79.3412928	107.6347412
CG3183	274.3740064	357.0543786	240.5178238	194.0117205	280.1391875	179.7689441	168.8970126	227.5437264	187.4029691	354.5880238
CG31830	4.141059695	4.691339797	5.696200782	4.723970646	5.502167273	5.278031643	5.897076869	7.160200567	6.680703355	8.51496146
CG31832	390.7223575	362.038672	364.5568501	600.491494	182.278425	94.35322991	92.41146851	57.28160454	17.3877578	32.89964245
CG31834	34.2967508	38.31931855	41.93258892	39.39662123	41.93258892	45.56960626	45.56960626	48.84029469	72.00374302	59.30163596
CG31835	19.69831061	21.11212657	23.26356028	21.85664411	29.65081798	28.05138308	24.25146506	25.63423608	36.25228433	19.8353232
CG31839	61.81992505	59.71411146	50.56264396	65.79928491	75.58353033	97.00586026	122.7858073	107.6347412	213.7825074	158.6825856
CG3184	105.4196502	63.55791971	55.3303828	66.25695513	82.71058116	65.79928491	77.7084726	87.42657643	142.0248924	58.08122594
CG31840	5.388934307	6.588728138	5.540437872	5.351710219	5.13370359	6.498019171	7.889861636	6.680703355	13.08643294	6.02098699
CG31841	45.88656794	39.39662123	37.79176517	39.12448889	51.62507259	62.24991663	67.18186775	56.49299176	133.4356174	73.51669472
CG31842	47.50475426	77.7084726	144.007486	212.3058037	109.1372661	53.44562684	86.22294892	69.5510312	81.57188015	53.07645093
CG31845	25.28132198	34.53530357	34.53530357	27.6651914	32.89964245	35.01739844	39.12448889	40.22442798	70.03479688	55.71523605
CG31846	5480.151264	6295.040743	6080.608545	4973.342246	6700.253664	5184.539009	6382.916237	6472.018427	3326.985815	4420.518857
CG31847	4904.872774	4640.292394	3956.475203	3848.285181	3125.77886	3769.088617	5184.539009	4011.705539	2916.454801	2368.897401
CG31848	12.04197398	12.29500145	11.95879399	11.55143356	12.38051995	16.56423878	16.79546694	12.64066099	31.34144952	17.50869922
CG31849	272.4787667	221.3215312	141.0438548	187.4029691	467.8817025	38.58585049	344.8917957	136.2393834	43.11147446	103.9683067
